City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zhezqazghan,47.7833,67.7667,24.42,26,0,2.13,KZ,1722719043
1,vorgashor,67.5833,63.95,12.68,67,100,7.13,RU,1722719044
2,tashtagol,52.7657,87.8894,15.26,97,100,0.67,RU,1722719045
3,puerto natales,-51.7236,-72.4875,3.25,93,75,1.03,CL,1722719047
4,georgetown,5.4112,100.3354,25.96,74,20,1.54,MY,1722719048
5,prince rupert,54.3161,-130.3201,17.83,78,0,3.09,CA,1722719049
6,waitangi,-43.9535,-176.5597,8.79,80,58,1.79,NZ,1722719050
7,shamokin,40.789,-76.5589,25.64,89,63,3.84,US,1722719051
8,bilibino,68.0546,166.4372,7.46,69,98,0.94,RU,1722719052
9,udachny,66.4167,112.4,14.18,67,55,2.01,RU,1722719054
10,port said,31.2565,32.2841,27.99,69,0,4.63,EG,1722719055
11,chonchi,-42.6128,-73.8092,8.56,94,100,1.96,CL,1722719056
12,adamstown,-25.066,-130.1015,20.93,74,26,7.09,PN,1722719057
13,grytviken,-54.2811,-36.5092,-4.57,92,100,3.92,GS,1722719058
14,port alfred,-33.5906,26.891,19.7,34,92,4.5,ZA,1722719059
15,bredasdorp,-34.5322,20.0403,7.82,90,99,2.2,ZA,1722719060
16,mugia,43.1041,-9.2179,21.76,84,0,5.01,ES,1722719062
17,lata,40.1629,-8.3327,18.37,87,0,1.3,PT,1722719063
18,ola,59.5833,151.2833,13.12,52,4,2.14,RU,1722719065
19,al jawf,29.5,38.75,28.39,18,6,3.59,SA,1722719066
20,brisas de zicatela,15.8369,-97.0419,29.29,89,75,3.09,MX,1722719067
21,whitehorse,60.7161,-135.0538,16.56,55,75,3.09,CA,1722718886
22,ulladulla,-35.35,150.4667,8.36,69,100,2.57,AU,1722719069
23,college,64.8569,-147.8028,13.18,89,100,2.06,US,1722719070
24,iqaluit,63.7506,-68.5145,5.85,75,20,7.72,CA,1722718815
25,ribeira grande,38.5167,-28.7,25.22,78,20,4.12,PT,1722719072
26,weno,7.4515,151.8468,28.01,76,78,2.98,FM,1722719073
27,dakhla,23.6848,-15.958,23.01,83,48,3.09,EH,1722719074
28,egilsstadir,65.2653,-14.3948,10.95,87,40,4.12,IS,1722719075
29,ushuaia,-54.8,-68.3,-1.19,69,75,3.09,AR,1722718804
30,aur,8.1499,171.1687,28.2,77,35,3.16,MH,1722719077
31,atafu village,-8.5421,-172.5159,28.16,75,45,6.66,TK,1722719078
32,kabala,9.5833,-11.55,21.62,98,99,2.18,SL,1722719079
33,keflavik,64.0049,-22.5624,14.95,82,75,5.14,IS,1722718872
34,mar del plata,-38.0023,-57.5575,14.18,62,0,3.09,AR,1722718474
35,kruisfontein,-34.0033,24.7314,16.06,19,98,3.55,ZA,1722719084
36,caorle,45.5966,12.8758,25.98,72,2,1.82,IT,1722719085
37,port-aux-francais,-49.35,70.2167,2.46,85,18,11.28,TF,1722719086
38,saldanha,-33.0117,17.9442,11.03,86,94,5.25,ZA,1722719087
39,lompoc,34.6391,-120.4579,29.21,67,0,6.17,US,1722719088
40,wailua homesteads,22.0669,-159.378,27.44,77,100,4.63,US,1722719089
41,tsiombe,-25.3,45.4833,17.01,85,0,0.42,MG,1722719091
42,naxos,37.1056,25.3764,28.5,51,0,2.24,GR,1722719092
43,albany,42.6001,-73.9662,28.78,71,78,1.84,US,1722718808
44,busselton,-33.65,115.3333,9.61,83,0,1.94,AU,1722719094
45,nookat,40.2671,72.6207,21.42,33,55,1.65,KG,1722719095
46,kodiak,57.79,-152.4072,13.73,67,100,4.63,US,1722719096
47,tiksi,71.6872,128.8694,6.21,82,100,1.63,RU,1722719097
48,bethel,41.3712,-73.414,29.7,89,100,2.89,US,1722719098
49,beyneu,45.3167,55.2,28.35,30,4,2.6,KZ,1722719100
50,luderitz,-26.6481,15.1594,12.5,95,35,4.58,NA,1722719101
51,jamestown,42.097,-79.2353,24.8,88,75,3.6,US,1722718822
52,port saint john's,-31.6229,29.5448,18.41,59,57,3.65,ZA,1722719103
53,island harbour,50.724,-1.2758,17.21,73,79,1.79,GB,1722719104
54,ilulissat,69.2167,-51.1,9.8,54,3,2.2,GL,1722719105
55,blackmans bay,-43.0167,147.3167,8.74,73,59,4.67,AU,1722719106
56,punta arenas,-53.15,-70.9167,1.06,80,75,5.14,CL,1722719022
57,san patricio,28.017,-97.5169,35.65,41,44,4.41,US,1722719108
58,anadyr,64.75,177.4833,9.28,87,75,5.0,RU,1722719109
59,timbuktu,16.7735,-3.0074,29.17,60,37,3.37,ML,1722718991
60,taoudenni,22.6783,-3.9836,36.05,30,100,7.47,ML,1722719112
61,isafjordur,66.0755,-23.124,7.67,97,99,4.26,IS,1722719113
62,st. john's,47.5649,-52.7093,25.66,56,20,5.66,CA,1722718817
63,thompson,55.7435,-97.8558,18.09,42,75,4.63,CA,1722719115
64,pisco,-13.7,-76.2167,18.03,77,0,4.63,PE,1722719047
65,monchegorsk,67.9397,32.8739,11.38,84,32,3.05,RU,1722719117
66,tsimlyansk,47.6461,42.1019,23.34,37,40,2.54,RU,1722719118
67,upata,8.0086,-62.3989,28.44,74,73,0.6,VE,1722719119
68,badger,64.8,-147.5333,13.14,91,100,2.06,US,1722719120
69,an nimas,19.1455,42.1201,15.84,81,99,1.4,SA,1722719121
70,port mathurin,-19.6833,63.4167,22.15,71,17,5.14,MU,1722719122
71,karlstad,59.3793,13.5036,15.31,94,100,1.03,SE,1722719123
72,wotho,10.1657,166.0102,28.18,75,7,1.9,MH,1722719124
73,san antonio de pale,-1.4014,5.6325,22.55,76,88,6.02,GQ,1722719125
74,bikenibeu village,1.3673,173.1241,27.98,89,20,5.14,KI,1722719127
75,saipan,15.1355,145.701,27.39,83,75,5.66,MP,1722718914
76,enewetak,11.3474,162.3373,28.22,76,95,0.49,MH,1722719129
77,tralee,52.2704,-9.7026,15.14,77,75,3.09,IE,1722719130
78,la'ie,21.6477,-157.9253,30.03,76,40,2.24,US,1722719131
79,hasaki,35.7333,140.8333,24.22,83,79,1.32,JP,1722719132
80,kaya,13.0917,-1.0844,24.19,84,100,3.13,BF,1722719133
81,correntina,-13.3433,-44.6367,23.96,30,0,2.28,BR,1722719134
82,adh dhibiyah,24.5014,45.9686,32.29,17,100,3.02,SA,1722719135
83,baotou,40.6522,109.8222,20.16,81,2,2.56,CN,1722719136
84,west island,-12.1568,96.8225,25.99,78,100,5.14,CC,1722719137
85,kyzyl-suu,42.3414,78.0056,18.13,51,9,2.65,KG,1722719138
86,ust-nera,64.5667,143.2,11.88,56,38,2.25,RU,1722719139
87,utrik,11.2278,169.8474,28.29,76,2,3.65,MH,1722719140
88,belyy yar,53.6039,91.3903,18.94,82,0,1.0,RU,1722719141
89,hastings,50.8552,0.5729,18.62,83,100,6.12,GB,1722719142
90,amarante,-6.2411,-42.8547,32.23,26,62,4.53,BR,1722719143
91,carnarvon,-24.8667,113.6333,16.26,56,0,5.25,AU,1722719094
92,jobabo,20.9692,-76.2994,24.01,43,45,4.42,CU,1722719146
93,holualoa,19.6228,-155.9522,27.7,73,0,6.17,US,1722719082
94,mount pearl,47.5166,-52.7813,25.19,61,20,5.66,CA,1722719148
95,afaahiti,-17.75,-149.2833,24.93,68,68,4.43,PF,1722719149
96,edinburgh of the seven seas,-37.0676,-12.3116,12.04,75,99,14.06,SH,1722719150
97,kudahuvadhoo,2.6708,72.8944,27.56,75,100,0.69,MV,1722719151
98,yellowknife,62.456,-114.3525,21.29,41,75,5.81,CA,1722719135
99,atascocita,29.9988,-95.1766,38.33,61,40,2.57,US,1722719153
100,kavaratti,10.5669,72.642,27.55,84,100,5.95,IN,1722719154
101,kargasok,59.0556,80.8572,17.69,96,98,2.94,RU,1722719155
102,east london,-33.0153,27.9116,19.18,27,51,3.77,ZA,1722719156
103,pacific grove,36.6177,-121.9166,26.32,80,0,5.14,US,1722719157
104,faya-largeau,17.9257,19.1043,34.8,39,70,5.07,TD,1722718934
105,port elizabeth,-33.918,25.5701,16.29,38,83,0.89,ZA,1722719159
106,kayyerkan,69.3786,87.7439,9.28,84,17,4.24,RU,1722719161
107,puerto ayora,-0.7393,-90.3518,24.98,85,92,2.68,EC,1722719162
108,berdigestyakh,62.0989,126.6992,11.88,63,4,1.54,RU,1722719163
109,warren,39.4334,-84.1666,31.15,66,40,4.63,US,1722718649
110,progreso,21.2833,-89.6667,30.06,85,57,4.42,MX,1722719165
111,smithers,54.7804,-127.1743,25.18,23,0,1.54,CA,1722719166
112,northam,51.0333,-4.2167,15.34,84,100,3.6,GB,1722719167
113,nikolayevsk-on-amure,53.1406,140.73,14.74,69,20,1.05,RU,1722719168
114,klaksvik,62.2266,-6.589,11.51,94,4,6.24,FO,1722719169
115,talnakh,69.4865,88.3972,12.94,72,27,1.8,RU,1722719170
116,margaret river,-33.95,115.0667,10.13,77,0,1.56,AU,1722719171
117,acajutla,13.5928,-89.8275,28.45,73,91,1.44,SV,1722719172
118,ambon,-3.6954,128.1814,26.04,95,75,2.57,ID,1722719173
119,myeik,12.4333,98.6,26.37,85,100,1.29,MM,1722719174
120,happy valley-goose bay,53.3168,-60.3315,22.17,64,75,5.14,CA,1722719175
121,klyuchi,52.2667,79.1667,17.79,88,80,4.05,RU,1722719176
